"","genes_list","description"
"30","ABAT","4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]"
"31","ABCA1","ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]"
"32","ABCA10","ATP binding cassette subfamily A member 10 [Source:HGNC Symbol;Acc:HGNC:30]"
"33","ABCA12","ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]"
"34","ABCA13","ATP binding cassette subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:14638]"
"35","ABCA2","ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]"
"36","ABCA3","ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]"
"37","ABCA4","ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]"
"38","ABCA5","ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]"
"39","ABCA6","ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]"
"40","ABCA7","ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]"
"41","ABCA8","ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]"
"42","ABCA9","ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]"
"43","ABCB1","ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]"
"44","ABCB11","ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]"
"45","ABCB4","ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]"
"46","ABCB5","ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]"
"47","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]"
"48","ABCB7","ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]"
"49","ABCB8","ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]"
"50","ABCB9","ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]"
"51","ABCC1","ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]"
"52","ABCC10","ATP binding cassette subfamily C member 10 [Source:HGNC Symbol;Acc:HGNC:52]"
"53","ABCC11","ATP binding cassette subfamily C member 11 [Source:HGNC Symbol;Acc:HGNC:14639]"
"54","ABCC12","ATP binding cassette subfamily C member 12 [Source:HGNC Symbol;Acc:HGNC:14640]"
"55","ABCC2","ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]"
"56","ABCC3","ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]"
"57","ABCC4","ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]"
"58","ABCC5","ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]"
"59","ABCC6","ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]"
"60","ABCC8","ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]"
"61","ABCC9","ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]"
"62","ABCD1","ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]"
"63","ABCD2","ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]"
"64","ABCD3","ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]"
"65","ABCD4","ATP binding cassette subfamily D member 4 [Source:HGNC Symbol;Acc:HGNC:68]"
"66","ABCE1","ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]"
"67","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]"
"68","ABCF2","ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]"
"69","ABCF3","ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72]"
"70","ABCG1","ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]"
"71","ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]"
"72","ABCG4","ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]"
"73","ABCG5","ATP binding cassette subfamily G member 5 [Source:HGNC Symbol;Acc:HGNC:13886]"
"74","ABCG8","ATP binding cassette subfamily G member 8 [Source:HGNC Symbol;Acc:HGNC:13887]"
"75","ABHD1","abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553]"
"76","ABHD10","abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]"
"77","ABHD11","abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407]"
"78","ABHD12","abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]"
"79","ABHD12B","abhydrolase domain containing 12B [Source:HGNC Symbol;Acc:HGNC:19837]"
"80","ABHD13","abhydrolase domain containing 13 [Source:HGNC Symbol;Acc:HGNC:20293]"
"81","ABHD14A","abhydrolase domain containing 14A [Source:HGNC Symbol;Acc:HGNC:24538]"
"82","ABHD14B","abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]"
"83","ABHD15","abhydrolase domain containing 15 [Source:HGNC Symbol;Acc:HGNC:26971]"
"84","ABHD16A","abhydrolase domain containing 16A, phospholipase [Source:HGNC Symbol;Acc:HGNC:13921]"
"85","ABHD16B","abhydrolase domain containing 16B [Source:HGNC Symbol;Acc:HGNC:16128]"
"86","ABHD17A","abhydrolase domain containing 17A, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:28756]"
"87","ABHD17B","abhydrolase domain containing 17B, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:24278]"
"88","ABHD17C","abhydrolase domain containing 17C, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]"
"89","ABHD18","abhydrolase domain containing 18 [Source:HGNC Symbol;Acc:HGNC:26111]"
"90","ABHD2","abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]"
"91","ABHD3","abhydrolase domain containing 3, phospholipase [Source:HGNC Symbol;Acc:HGNC:18718]"
"92","ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]"
"93","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]"
"94","ABHD6","abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]"
"95","ABHD8","abhydrolase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23759]"
"96","ABI1","abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]"
"97","ABI2","abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011]"
"98","ABI3","ABI family member 3 [Source:HGNC Symbol;Acc:HGNC:29859]"
"99","ABI3BP","ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]"
"100","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]"
"101","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]"
"102","ABLIM1","actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]"
"103","ABLIM2","actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195]"
"104","ABLIM3","actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]"
"105","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]"
"106","ABR","ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]"
"107","ABRA","actin binding Rho activating protein [Source:HGNC Symbol;Acc:HGNC:30655]"
"108","ABRACL","ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230]"
"109","ABRAXAS1","abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]"
"110","ABRAXAS2","abraxas 2, BRISC complex subunit [Source:HGNC Symbol;Acc:HGNC:28975]"
"111","ABT1","activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]"
"112","ABTB1","ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275]"
"113","ABTB2","ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]"
"114","AC004593.3",NA
"115","AC005551.1",NA
"116","AC007906.2",NA
"117","AC008397.1",NA
"118","AC008687.4",NA
"119","AC010255.3",NA
"120","AC010325.1",NA
"121","AC011005.1",NA
"122","AC011195.2",NA
"123","AC013470.2",NA
"124","AC015802.6",NA
"125","AC021072.1",NA
"126","AC021097.2",NA
"127","AC025283.2",NA
"128","AC025287.4",NA
"129","AC048338.2",NA
"130","AC055839.2",NA
"131","AC067752.1",NA
"132","AC072022.2",NA
"133","AC073111.4",NA
"134","AC084121.9",NA
"135","AC087498.1",NA
"136","AC090360.1",NA
"137","AC091057.6",NA
"138","AC092835.1",NA
"139","AC093323.1",NA
"140","AC093512.2",NA
"141","AC099489.1",NA
"142","AC104389.5",NA
"143","AC106774.4",NA
"144","AC113348.1",NA
"145","AC115220.1",NA
"146","AC118549.1",NA
"147","AC119396.1",NA
"148","AC132217.2",NA
"149","AC134684.8",NA
"150","AC135068.1",NA
"151","AC135068.3",NA
"152","AC138647.1",NA
"153","AC187653.1",NA
"154","AC233723.1",NA
"155","AC236972.4",NA
"156","ACAA1","acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]"
"157","ACAA2","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"158","ACACA","acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]"
"159","ACACB","acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]"
"160","ACAD10","acyl-CoA dehydrogenase family member 10 [Source:HGNC Symbol;Acc:HGNC:21597]"
"161","ACAD11","acyl-CoA dehydrogenase family member 11 [Source:HGNC Symbol;Acc:HGNC:30211]"
"162","ACAD8","acyl-CoA dehydrogenase family member 8 [Source:HGNC Symbol;Acc:HGNC:87]"
"163","ACAD9","acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]"
"164","ACADL","acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]"
"165","ACADM","acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]"
"166","ACADS","acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]"
"167","ACADSB","acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]"
"168","ACADVL","acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]"
"169","ACAN","aggrecan [Source:HGNC Symbol;Acc:HGNC:319]"
"170","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16467]"
"171","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]"
"172","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]"
"173","ACAT1","acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]"
"174","ACAT2","acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]"
"175","ACBD3","acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453]"
"176","ACBD4","acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]"
"177","ACBD5","acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338]"
"178","ACBD6","acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339]"
"179","ACBD7","acyl-CoA binding domain containing 7 [Source:HGNC Symbol;Acc:HGNC:17715]"
"180","ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989]"
"181","ACCSL","1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like [Source:HGNC Symbol;Acc:HGNC:34391]"
"182","ACD","ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]"
"183","ACE","angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]"
"184","ACE2","angiotensin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]"
"185","ACER1","alkaline ceramidase 1 [Source:HGNC Symbol;Acc:HGNC:18356]"
"186","ACER2","alkaline ceramidase 2 [Source:HGNC Symbol;Acc:HGNC:23675]"
"187","ACER3","alkaline ceramidase 3 [Source:HGNC Symbol;Acc:HGNC:16066]"
"188","ACHE","acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]"
"189","ACIN1","apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]"
"190","ACKR1","atypical chemokine receptor 1 (Duffy blood group) [Source:HGNC Symbol;Acc:HGNC:4035]"
"191","ACKR2","atypical chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1565]"
"192","ACKR3","atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]"
"193","ACKR4","atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611]"
"194","ACLY","ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]"
"195","ACMSD","aminocarboxymuconate semialdehyde decarboxylase [Source:HGNC Symbol;Acc:HGNC:19288]"
"196","ACO1","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]"
"197","ACO2","aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]"
"198","ACOD1","aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]"
"199","ACOT1","acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128]"
"200","ACOT11","acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]"
"201","ACOT12","acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436]"
"202","ACOT13","acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]"
"203","ACOT2","acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431]"
"204","ACOT4","acyl-CoA thioesterase 4 [Source:HGNC Symbol;Acc:HGNC:19748]"
"205","ACOT6","acyl-CoA thioesterase 6 [Source:HGNC Symbol;Acc:HGNC:33159]"
"206","ACOT7","acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]"
"207","ACOT8","acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]"
"208","ACOT9","acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152]"
"209","ACOX1","acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]"
"210","ACOX2","acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]"
"211","ACOX3","acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]"
"212","ACOXL","acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621]"
"213","ACP1","acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]"
"214","ACP2","acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]"
"215","ACP4","acid phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:14376]"
"216","ACP5","acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]"
"217","ACP6","acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]"
"218","ACP7","acid phosphatase 7, tartrate resistant (putative) [Source:HGNC Symbol;Acc:HGNC:33781]"
"219","ACPP",NA
"220","ACR","acrosin [Source:HGNC Symbol;Acc:HGNC:126]"
"221","ACRBP","acrosin binding protein [Source:HGNC Symbol;Acc:HGNC:17195]"
"222","ACRV1","acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127]"
"223","ACSBG1","acyl-CoA synthetase bubblegum family member 1 [Source:HGNC Symbol;Acc:HGNC:29567]"
"224","ACSBG2","acyl-CoA synthetase bubblegum family member 2 [Source:HGNC Symbol;Acc:HGNC:24174]"
"225","ACSF2","acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:HGNC:26101]"
"226","ACSF3","acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288]"
"227","ACSL1","acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]"
"228","ACSL3","acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]"
"229","ACSL4","acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]"
"230","ACSL5","acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]"
"231","ACSL6","acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]"
"232","ACSM1","acyl-CoA synthetase medium chain family member 1 [Source:HGNC Symbol;Acc:HGNC:18049]"
"233","ACSM3","acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]"
"234","ACSM4","acyl-CoA synthetase medium chain family member 4 [Source:HGNC Symbol;Acc:HGNC:32016]"
"235","ACSM5","acyl-CoA synthetase medium chain family member 5 [Source:HGNC Symbol;Acc:HGNC:26060]"
"236","ACSM6","acyl-CoA synthetase medium chain family member 6 [Source:HGNC Symbol;Acc:HGNC:31665]"
"237","ACSS1","acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]"
"238","ACSS2","acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]"
"239","ACSS3","acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723]"
"240","ACTA2","actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"
"241","ACTB","actin beta [Source:HGNC Symbol;Acc:HGNC:132]"
"242","ACTC1","actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]"
"243","ACTG2","actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]"
"244","ACTL6A","actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]"
"245","ACTL6B","actin like 6B [Source:HGNC Symbol;Acc:HGNC:160]"
"246","ACTL7A","actin like 7A [Source:HGNC Symbol;Acc:HGNC:161]"
"247","ACTL7B","actin like 7B [Source:HGNC Symbol;Acc:HGNC:162]"
"248","ACTL8","actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]"
"249","ACTL9","actin like 9 [Source:HGNC Symbol;Acc:HGNC:28494]"
"250","ACTN1","actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]"
"251","ACTN2","actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]"
"252","ACTN3","actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]"
"253","ACTN4","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]"
"254","ACTR10","actin related protein 10 [Source:HGNC Symbol;Acc:HGNC:17372]"
"255","ACTR1A","actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167]"
"256","ACTR1B","actin related protein 1B [Source:HGNC Symbol;Acc:HGNC:168]"
"257","ACTR3","actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]"
"258","ACTR3B","actin related protein 3B [Source:HGNC Symbol;Acc:HGNC:17256]"
"259","ACTR3C","actin related protein 3C [Source:HGNC Symbol;Acc:HGNC:37282]"
"260","ACTR5","actin related protein 5 [Source:HGNC Symbol;Acc:HGNC:14671]"
"261","ACTR6","actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]"
"262","ACTR8","actin related protein 8 [Source:HGNC Symbol;Acc:HGNC:14672]"
"263","ACTRT1","actin related protein T1 [Source:HGNC Symbol;Acc:HGNC:24027]"
"264","ACTRT2","actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026]"
"265","ACTRT3","actin related protein T3 [Source:HGNC Symbol;Acc:HGNC:24022]"
"266","ACVR1","activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]"
"267","ACVR1B","activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]"
"268","ACVR1C","activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]"
"269","ACVR2A","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"270","ACVR2B","activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]"
"271","ACVRL1","activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]"
"272","ACY1","aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]"
"273","ACY3","aminoacylase 3 [Source:HGNC Symbol;Acc:HGNC:24104]"
"274","ACYP1","acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]"
"275","ACYP2","acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]"
"276","ADA","adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]"
"277","ADA2","adenosine deaminase 2 [Source:HGNC Symbol;Acc:HGNC:1839]"
"278","ADAD1","adenosine deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30713]"
"279","ADAD2","adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30714]"
"280","ADAL","adenosine deaminase like [Source:HGNC Symbol;Acc:HGNC:31853]"
"281","ADAM10","ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]"
"282","ADAM11","ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]"
"283","ADAM12","ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]"
"284","ADAM15","ADAM metallopeptidase domain 15 [Source:HGNC Symbol;Acc:HGNC:193]"
"285","ADAM17","ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]"
"286","ADAM18","ADAM metallopeptidase domain 18 [Source:HGNC Symbol;Acc:HGNC:196]"
"287","ADAM19","ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]"
"288","ADAM2","ADAM metallopeptidase domain 2 [Source:HGNC Symbol;Acc:HGNC:198]"
"289","ADAM20","ADAM metallopeptidase domain 20 [Source:HGNC Symbol;Acc:HGNC:199]"
"290","ADAM22","ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]"
"291","ADAM23","ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202]"
"292","ADAM28","ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:HGNC:206]"
"293","ADAM29","ADAM metallopeptidase domain 29 [Source:HGNC Symbol;Acc:HGNC:207]"
"294","ADAM30","ADAM metallopeptidase domain 30 [Source:HGNC Symbol;Acc:HGNC:208]"
"295","ADAM32","ADAM metallopeptidase domain 32 [Source:HGNC Symbol;Acc:HGNC:15479]"
"296","ADAM33","ADAM metallopeptidase domain 33 [Source:HGNC Symbol;Acc:HGNC:15478]"
"297","ADAM7","ADAM metallopeptidase domain 7 [Source:HGNC Symbol;Acc:HGNC:214]"
"298","ADAM8","ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]"
"299","ADAM9","ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]"
"300","ADAMDEC1","ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299]"
"301","ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]"
"302","ADAMTS10","ADAM metallopeptidase with thrombospondin type 1 motif 10 [Source:HGNC Symbol;Acc:HGNC:13201]"
"303","ADAMTS12","ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:HGNC Symbol;Acc:HGNC:14605]"
"304","ADAMTS13","ADAM metallopeptidase with thrombospondin type 1 motif 13 [Source:HGNC Symbol;Acc:HGNC:1366]"
"305","ADAMTS14","ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]"
